,Fall,Major Name,Male,Female
552,1982,Urban Planning,76,58
553,1982,VMS - Veterinary Biosciences,24,10
554,1982,VMS - Veterinary Pathobiology,23,14
555,1982,VMS-Veterinary Clinical Medcne,8,5
556,1982,VOC H E ED,0,26
557,1982,Veterinary Medical Science,6,1
558,1982,Veterinary Medicine,189,154
559,1982,Wood Sciences,1,0
560,1983,Accountancy,791,738
561,1983,Advertising,79,174
562,1983,Aero & Astro Engineering,428,45
563,1983,Agr & Environmental Cmc & Educ,5,0
564,1983,Agricultural & Applied Econ,356,73
565,1983,Agricultural Communications,27,58
566,1983,Agricultural Education,23,3
567,1983,Agricultural Engineering,181,12
568,1983,Agricultural Sciences,50,27
569,1983,Agronomy,128,40
570,1983,Air Systems,102,13
571,1983,Animal Sciences,218,256
572,1983,Anthropology,36,21
573,1983,Application Design,0,18
574,1983,Architectural Studies,395,163
575,1983,Architecture,177,39
576,1983,Art Education,17,57
577,1983,Art History,21,66
578,1983,Art and Design,172,188
579,1983,Asian Studies,7,13
580,1983,Astronomy,15,2
581,1983,Atmospheric Sciences,14,7
582,1983,Avionics,10,0
583,1983,BUS EDUC,8,28
584,1983,Biochemistry,67,30
585,1983,Biology,121,96
586,1983,Biophysics & Computnl Biology,19,7
587,1983,Broadcast Journalism,21,26
588,1983,Business Administration,573,458
589,1983,CER ENGR,121,34
590,1983,CERAMICS,0,1
591,1983,CONSM ECON,2,12
592,1983,CORE CURR,73,30
593,1983,CUR INST 2,3,18
594,1983,CUR INST#1,2,1
595,1983,CUR INST#3,3,6
596,1983,Chemical Engineering,421,117
597,1983,Chemical Physics,5,3
598,1983,Chemistry,398,159
599,1983,Civil Engineering,517,94
600,1983,Classical Philology,8,2
601,1983,Classics,7,1
602,1983,Communication,14,22
603,1983,Community Health,22,40
604,1983,Comparative Literature,16,23
605,1983,Computer Engineering,348,78
606,1983,Computer Science,779,273
607,1983,Crafts,6,16
608,1983,DAIRY SCI,46,21
609,1983,DIETETICS,1,68
610,1983,Dance,3,43
611,1983,ED POL ST,32,33
612,1983,ED SEC&CON,38,68
613,1983,EDUC ELEMENTARY,9,102
614,1983,EDUC GEN,31,100
615,1983,EDUC IDISC,2,1
616,1983,ENGR MECH,40,10
617,1983,ENGR PHYS,71,10
618,1983,ENV ENGR,23,8
619,1983,ENV SCI,10,3
620,1983,EXT EDUC,6,6
621,1983,Early Childhood Education,1,55
622,1983,Economics,145,35
623,1983,Ed Organization and Leadership,49,66
624,1983,Educ Voc Tech,61,48
625,1983,Educational Psychology,66,83
626,1983,Electrical Engineering,1475,182
627,1983,Elementary Education,19,351
628,1983,English,43,55
629,1983,Entomology,29,8
630,1983,FAM&CON EC,0,6
631,1983,Finance,350,244
632,1983,Food Science & Human Nutrition,84,136
633,1983,Forestry,65,21
634,1983,French,9,22
635,1983,GEN AGR,28,6
636,1983,GEN CURR,841,1233
637,1983,GEN ENGR,324,146
638,1983,GEN H ECON,0,7
639,1983,Genetics,3,3
640,1983,Geography,25,9
641,1983,Geology,73,33
642,1983,German,14,8
643,1983,Graphic Design,50,120
644,1983,H DVL-FAM,3,79
645,1983,HEALTH&SAF,5,0
646,1983,HLTH EDUC,1,24
647,1983,HLTH PL AD,4,11
648,1983,HOME ECON,0,3
649,1983,HR&FS,1,36
650,1983,HR&FS A&ID,1,9
651,1983,HR&FS GEN,0,5
