Fall,College,Major Name,Total
1982,Fine and Applied Arts,Crafts,25
1982,ACES,Forestry,25
1982,LAS,Biophysics & Computnl Biology,26
1982,Fine and Applied Arts,PERFORM ST,26
1982,ACES,VOC H E ED,26
1982,LAS,Asian Studies,27
1982,Engineering,Computer Science,28
1982,Education,Special Education,28
1982,Applied Health Sciences,Biology,30
1982,ACES,DAIRY SCI,30
1982,Engineering,ENV ENGR,30
1982,ACES,Food Science & Human Nutrition,30
1982,LAS,Plant Biology,30
1982,Fine and Applied Arts,Art History,31
1982,Education,BUS EDUC,31
1982,Engineering,CER ENGR,31
1982,Fine and Applied Arts,Art History,32
1982,LAS,Entomology,33
1982,LAS,French,33
1982,LAS,Philosophy,33
1982,Fine and Applied Arts,Dance,34
1982,ACES,Food Science & Human Nutrition,34
1982,VetMed,VMS - Veterinary Biosciences,34
1982,Fine and Applied Arts,Art Education,35
1982,ACES,Speech & Hearing Science,35
1982,LAS,TCH ENGL,35
1982,LAS,Geography,36
1982,ACES,Mechanical Agriculture,36
1982,Applied Life Sciences,Community Health,37
1982,Fine and Applied Arts,Art Education,37
1982,ACES,DAIRY SCI,37
1982,Media,Journalism,37
1982,Fine and Applied Arts,Landscape Architecture,37
1982,VetMed,VMS - Veterinary Pathobiology,37
1982,Education,Early Childhood Education,38
1982,Media,Broadcast Journalism,39
1982,Business,Theatre,39
1982,Engineering,ENGR MECH,40
1982,ACES,Nutritional Sciences,40
1982,LAS,Political Science,40
1982,Media,Communication,41
1982,ACES,HOME ECON,41
1982,ACES,PLANT PATH,41
1982,Media,Advertising,42
1982,ACES,Horticulture,42
1982,LAS,Comparative Literature,43
1982,ACES,Speech & Hearing Science,44
1982,ACES,GEN AGR,44
1982,LAS,Sociology,44
1982,ACES,DIETETICS,46
1982,ACES,Spanish,46
1982,ACES,Food Science & Human Nutrition,47
1982,LAS,HR&FS,47
1982,Applied Health Sciences,Leisure Studies,47
1982,Fine and Applied Arts,MUS-VOICE,48
1982,Fine and Applied Arts,Urban Planning,48
1982,Applied Health Sciences,OUTDR REC,49
1982,Engineering,Aero & Astro Engineering,51
1982,Business,Finance,51
1982,ACES,Speech & Hearing Science,52
1982,Engineering,Theoretical & Applied Mechans,52
1982,Fine and Applied Arts,UNCLASS,52
1982,LAS,Geology,54
1982,ACES,Industrial Agriculture,56
1982,LAS,Molecular & Integrative Physi,56
1982,ACES,REST MGMT,56
1982,Fine and Applied Arts,Music Education,57
1982,ACES,Forestry,59
1982,Applied Health Sciences,Kinesiology,59
1982,LAS,Geology,60
1982,Fine and Applied Arts,Art and Design,61
1982,Engineering,Electrical Engineering,62
1982,LAS,Speech Communication,62
1982,Education,TECH ED SP,62
1982,Business,Economics,63
1982,Education,ED POL ST,66
1982,ACES,Agricultural Sciences,68
1982,ACES,Food Science & Human Nutrition,68
1982,ACES,Agricultural & Applied Econ,69
1982,LAS,PRE-MED,69
1982,LAS,Anthropology,70
1982,ACES,H DVL-FAM,70
